Questions,Answers,,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the LEFTB function in Excel?,"The LEFTB function in Excel is used to extract a specified number of bytes from the beginning (left) of a text string, taking into account double-byte characters.",,,,,,,,,,,,,,,,,,,,,,,,
How can you calculate the percentage change between two numbers in Excel?,"To calculate the percentage change between two numbers in Excel, subtract the old number from the new number, divide by the old number, and multiply by 100. For example, if the old number is in cell A1 and the new number is in cell B1, you would enter ""=((B1-A1)/A1)*100"" in a different cell to get the percentage change.",,,,,,,,,,,,,,,,,,,,,,,,
How do you create a pivot chart in Excel based on a pivot table?,"To create a pivot chart in Excel based on a pivot table, select any cell within the pivot table, go to the ""Insert"" tab, click on the desired chart type, and choose the desired chart subtype.",,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the MID function in Excel?,The MID function in Excel is used to extract a specified number of characters from the middle of a text string.,,,,,,,,,,,,,,,,,,,,,,,,
How can you calculate the total of a range of cells in Excel?,"To calculate the total of a range of cells in Excel, you can use the SUM function. For example, if the range of cells is A1 to A10, you would enter ""=SUM(A1:A10)"" in a cell to get the total.",,,,,,,,,,,,,,,,,,,,,,,,
How do you change the background color of a cell in Excel?,"To change the background color of a cell in Excel, select the cell(s) you want to format, go to the ""Home"" tab, click on the ""Fill Color"" dropdown, and choose the desired color.",,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the VLOOKUP function in Excel?,The VLOOKUP function in Excel is used to look up a value in the leftmost column of a table or range and return a value from a specified column in the same row.,,,,,,,,,,,,,,,,,,,,,,,,
How can you sort data in Excel based on multiple criteria?,"To sort data in Excel based on multiple criteria, go to the ""Data"" tab, click on the ""Sort"" button, and choose the desired sorting criteria in the Sort dialog box.",,,,,,,,,,,,,,,,,,,,,,,,
How do you insert a function in an Excel worksheet?,"To insert a function in an Excel worksheet, select the cell where you want to enter the function, go to the ""Formulas"" tab, click on the ""Insert Function"" button, and choose the desired function from the Insert Function dialog box.",,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the SEARCH function in Excel?,The SEARCH function in Excel is used to find the position of a specific text within another text string.,,,,,,,,,,,,,,,,,,,,,,,,
How can you calculate the exponential power of a number in Excel?,"To calculate the exponential power of a number in Excel, you can use the POWER function. For example, if the base number is in cell A1 and the exponent is in cell B1, you would enter ""=POWER(A1, B1)"" in a different cell to get the result.",,,,,,,,,,,,,,,,,,,,,,,,
How do you apply conditional formatting to a range of cells in Excel?,"To apply conditional formatting to a range of cells in Excel, select the cells you want to format, go to the ""Home"" tab, click on the ""Conditional Formatting"" button, and choose the desired formatting rule.",,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the INDEX function in Excel?,The INDEX function in Excel is used to return the value of a cell in a specified row and column of a range.,,,,,,,,,,,,,,,,,,,,,,,,
How can you calculate the factorial of a number in Excel?,"To calculate the factorial of a number in Excel, you can use a combination of functions. For example, if the number is in cell A1, you would enter ""=FACT(A1)"" in a different cell to get the factorial.",,,,,,,,,,,,,,,,,,,,,,,,
How do you freeze panes in an Excel worksheet?,"To freeze panes in an Excel worksheet, go to the ""View"" tab, click on the ""Freeze Panes"" dropdown, and choose the desired option (e.g., ""Freeze Panes"" to freeze the top row and leftmost column).",,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the ROUNDUP function in Excel?,The ROUNDUP function in Excel is used to round a number up to a specified number of digits.,,,,,,,,,,,,,,,,,,,,,,,,
How can you calculate the weighted average of a range of cells in Excel?,"To calculate the weighted average of a range of cells in Excel, you can multiply each value by its corresponding weight, sum the products, and divide by the sum of the weights. For example, if the range of cells is A1 to A10 (values) and B1 to B10 (weights), you would enter ""=SUMPRODUCT(A1:A10, B1:B10)/SUM(B1:B10)"" in a cell to get the weighted average.",,,,,,,,,,,,,,,,,,,,,,,,
How do you insert a comment in an Excel cell?,"To insert a comment in an Excel cell, select the cell, go to the ""Review"" tab, click on the ""New Comment"" button, and enter the comment text in the comment box.",,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the CONCATENATE function in Excel?,The CONCATENATE function in Excel is used to combine or join multiple text strings into a single string.,,,,,,,,,,,,,,,,,,,,,,,,
How can you calculate the logarithm of a number to a specified base in Excel?,"To calculate the logarithm of a number to a specified base in Excel, you can use the LOG function. For example, if the number is in cell A1 and the base is in cell B1, you would enter ""=LOG(A1, B1)"" in a different cell to get the result.",,,,,,,,,,,,,,,,,,,,,,,,
How do you convert a range of text to uppercase in Excel?,"To convert a range of text to uppercase in Excel, you can use the UPPER function. For example, if the range of cells is A1 to A10, you would enter ""=UPPER(A1:A10)"" in a different range of cells to get the uppercase values.",,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the MAX function in Excel?,The MAX function in Excel is used to calculate the maximum value in a range of cells.,,,,,,,,,,,,,,,,,,,,,,,,
How can you calculate the average of a range of cells in Excel?,"To calculate the average of a range of cells in Excel, you can use the AVERAGE function. For example, if the range of cells is A1 to A10, you would enter ""=AVERAGE(A1:A10)"" in a cell to get the average.",,,,,,,,,,,,,,,,,,,,,,,,
How do you insert a line chart in Excel?,"To insert a line chart in Excel, select the data you want to include in the chart (two columns: X-values and Y-values), go to the ""Insert"" tab, click on the ""Line"" chart type, and choose the desired chart subtype.",,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the TEXT function in Excel?,The TEXT function in Excel is used to format a value as text using a specified format code.,,,,,,,,,,,,,,,,,,,,,,,,
How can you calculate the difference between two dates in Excel?,"To calculate the difference between two dates in Excel, you can subtract the earlier date from the later date. The result will be in the number of days. For example, if the earlier date is in cell A1 and the later date is in cell B1, you would enter ""=B1-A1"" in a different cell to get the difference.",,,,,,,,,,,,,,,,,,,,,,,,
How do you insert a checkbox in an Excel worksheet?,"To insert a checkbox in an Excel worksheet, go to the ""Developer"" tab (if not visible, enable it in Excel options), click on the ""Insert"" button in the ""Controls"" group, and choose the ""Check Box"" option.",,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the COUNT function in Excel?,The COUNT function in Excel is used to count the number of cells in a range that contain numeric values.,,,,,,,,,,,,,,,,,,,,,,,,
How can you calculate the standard deviation of a range of cells in Excel?,"To calculate the standard deviation of a range of cells in Excel, you can use the STDEV function. For example, if the range of cells is A1 to A10, you would enter ""=STDEV(A1:A10)"" in a cell to get the standard deviation.",,,,,,,,,,,,,,,,,,,,,,,,
How do you merge cells in Excel?,"To merge cells in Excel, select the cells you want to merge, go to the ""Home"" tab, click on the ""Merge & Center"" button in the ""Alignment"" group.",,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the AVERAGEIFS function in Excel?,The AVERAGEIFS function in Excel is used to calculate the average of a range of cells that meet multiple criteria.,,,,,,,,,,,,,,,,,,,,,,,,
How can you calculate the rank of a value within a range in Excel?,"To calculate the rank of a value within a range in Excel, you can use the RANK function. For example, if the value is in cell A1 and the range of values is in A1 to A10, you would enter ""=RANK(A1, A1:A10)"" in a different cell to get the rank.",,,,,,,,,,,,,,,,,,,,,,,,
How do you convert a range of text to proper case in Excel?,"To convert a range of text to proper case (capitalize the first letter of each word) in Excel, you can use the PROPER function. For example, if the range of cells is A1 to A10, you would enter ""=PROPER(A1:A10)"" in a different range of cells to get the proper case values.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
